Community,evenness_simplified,Evenness distribution,Taxonomic distribution,Sequencing Depth (million reads),Pipeline,MAG ID,Domain,Phylum,Class,Order,Family,Genus,Species,Completeness,Contamination,Strain heterogeneity,Original community?,Number of contigs,Contig size (bp),coverage,Relative abundance,species list,Special case?,original_comm,Mismatch
B,Logarithmic,Logarithmic decay,Random,60,8K,B.2.R.60-8K-bin.32,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Brucella,Brucella melitensis,98.24,0.44,0,#N/A,43,3143412,38,0.01124268,Brucella melitensis,Brucella melitensis,A,FALSE
A,Exponential,Exponential decay with abundance plateaus,Very closely related,60,DT,A.5.V.60-DT-bin.4,Bacteria,Aquificota,Aquificae,Aquificales,Aquificaceae,Thermocrinis,Thermocrinis ruber,98.37,0,0,Thermocrinis ruber,15,1443187,82,0.01126615,Thermocrinis ruber,#N/A,#N/A,#N/A
B,Logarithmic,Logarithmic decay,Random,60,8K,B.2.R.60-8K-bin.4,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Brucella,Brucella melitensis,98.64,0.44,0,#N/A,44,3154321,38,0.01128079,Brucella melitensis,Brucella melitensis,A,FALSE
A,Exponential,Exponential decay with abundance plateaus,Very closely related,60,MM,A.5.V.60-MM-bin.16,Bacteria,Aquificota,Aquificae,Aquificales,Aquificaceae,Thermocrinis,Thermocrinis albus,97.36,0,0,Thermocrinis albus,63,1452875,83,0.01128991,Thermocrinis albus,#N/A,#N/A,#N/A
C,Logarithmic,Logarithmic decay,Random,60,DT,C.2.R.60-DT-bin.18,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermocladiaceae,Vulcanisaeta,Vulcanisaeta moutnovskia,100,0.74,0,Vulcanisaeta moutnovskia,30,2290731,52,0.01129234,Vulcanisaeta moutnovskia,#N/A,#N/A,#N/A
A,Exponential,Exponential decay,Closely related,60,DT,A.3.C.60-DT-bin.11,Bacteria,Aquificota,Aquificae,Aquificales,Aquificaceae,Thermocrinis,Thermocrinis ruber,98.37,0,0,Thermocrinis ruber,16,1443067,82,0.01129675,Thermocrinis ruber,#N/A,#N/A,#N/A
A,Exponential,Exponential decay,Very closely related,60,8K,A.3.V.60-8K-bin.10,Bacteria,Aquificota,Aquificae,Aquificales,Aquificaceae,Thermocrinis,Thermocrinis albus,98.58,0,0,Thermocrinis albus,23,1465330,83,0.01129887,Thermocrinis albus,#N/A,#N/A,#N/A
A,Exponential,Exponential decay,Very closely related,60,8K,A.3.V.60-8K-bin.13,Bacteria,Aquificota,Aquificae,Aquificales,Aquificaceae,Thermocrinis,Thermocrinis albus,98.58,0,0,Thermocrinis albus,23,1465330,83,0.01129887,Thermocrinis albus,#N/A,#N/A,#N/A
A,Exponential,Exponential decay,Very closely related,60,8K,A.3.V.60-8K-bin.20,Bacteria,Aquificota,Aquificae,Aquificales,Aquificaceae,Thermocrinis,Thermocrinis albus,98.58,0,0,Thermocrinis albus,23,1465330,83,0.01129887,Thermocrinis albus,#N/A,#N/A,#N/A
A,Exponential,Exponential decay,Very closely related,60,8K,A.3.V.60-8K-bin.25,Bacteria,Aquificota,Aquificae,Aquificales,Aquificaceae,Thermocrinis,Thermocrinis albus,98.58,0,0,Thermocrinis albus,23,1465330,83,0.01129887,Thermocrinis albus,#N/A,#N/A,#N/A
B,Logarithmic,Logarithmic decay,Random,60,MM,B.2.R.60-MM-bin.15,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Brucella,Brucella melitensis,99.44,0.62,0,#N/A,215,3188134,38,0.01131288,Brucella melitensis,Brucella melitensis,A,FALSE
B,Logarithmic,Logarithmic decay,Random,180,DT,B.2.R.180-DT-bin.16,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Erythrobacter_B,Erythrobacter gangjinensis,99.25,4.19,5.56,Erythrobacter gangjinensis,38,2992342,120,0.01131410,Erythrobacter gangjinensis,#N/A,#N/A,#N/A
A,Exponential,Exponential decay,Very closely related,60,DT,A.3.V.60-DT-bin.4,Bacteria,Aquificota,Aquificae,Aquificales,Aquificaceae,Thermocrinis,Thermocrinis ruber,98.37,0,0,Thermocrinis ruber,14,1445409,83,0.01135556,Thermocrinis ruber,#N/A,#N/A,#N/A
B,Logarithmic,Logarithmic decay,Random,120,DT,B.2.R.120-DT-bin.3,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Brucella,Brucella melitensis,99.44,1.24,0,#N/A,64,3250835,73,0.01135822,Brucella melitensis,Brucella melitensis,A,FALSE
B,Exponential,Exponential decay,Closely related,60,DT,B.3.C.60-DT-bin.24,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Desulfurococcus,Desulfurococcus mucosus,100,1.27,0,Desulfurococcus mucosus,25,1312768,91,0.01137335,Desulfurococcus mucosus,#N/A,#N/A,#N/A
A,Exponential,Exponential decay,Very closely related,60,DT,A.3.V.60-DT-bin.23,Bacteria,Aquificota,Aquificae,Aquificales,Aquificaceae,Thermocrinis,Thermocrinis albus,99.39,0,0,Thermocrinis albus,24,1475824,81,0.01137611,Thermocrinis albus,#N/A,#N/A,#N/A
A,Logarithmic,Logarithmic decay,Random,60,DT,A.2.R.60-DT-bin.24,Bacteria,Actinobacteriota,Actinobacteria,Mycobacteriales,Mycobacteriaceae,Gordonia,Gordonia bronchialis,98.31,1.69,33.33,Gordonia bronchialis,139,4951316,24,0.01137841,Gordonia bronchialis,#N/A,#N/A,#N/A
A,Logarithmic,Logarithmic decay,Random,180,DT,A.2.R.180-DT-bin.27,Bacteria,Actinobacteriota,Actinobacteria,Mycobacteriales,Mycobacteriaceae,Rhodococcus,Rhodococcus aetherivorans,99.33,0.38,0,Rhodococcus aetherivorans,64,5858604,61,0.01138033,Rhodococcus aetherivorans,#N/A,#N/A,#N/A
B,Exponential,Exponential decay,Random,10,DT,B.3.R.10-DT-bin.22,Archaea,Halobacterota,Halobacteria,Halobacteriales,Haloarculaceae,Halorhabdus,Halorhabdus utahensis,93.95,3.27,18.18,Halorhabdus utahensis,255,2813541,7,0.01139339,Halorhabdus utahensis,#N/A,#N/A,#N/A
B,Exponential,Exponential decay with abundance plateaus,Closely related,60,DT,B.5.C.60-DT-bin.10,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Desulfurococcus,Desulfurococcus amylolyticus,98.73,0,0,#N/A,31,1347585,89,0.01140265,#N/A,#N/A,#N/A,#N/A
B,Exponential,Exponential decay,Closely related,60,DT,B.3.C.60-DT-bin.4,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus amyloliquefaciens,99.36,0.17,33.33,Bacillus amyloliquefaciens,34,3813018,31,0.01141765,Bacillus amyloliquefaciens,#N/A,#N/A,#N/A
C,Exponential,Exponential decay,Not closely related,60,8K,C.3.N.60-8K-bin.28,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermocladiaceae,Vulcanisaeta,Vulcanisaeta moutnovskia,88.97,0.74,0,Vulcanisaeta moutnovskia,17,1937735,63,0.01143200,Vulcanisaeta moutnovskia,#N/A,#N/A,#N/A
C,Exponential,Exponential decay,Not closely related,60,8K,C.3.N.60-8K-bin.38,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermocladiaceae,Vulcanisaeta,Vulcanisaeta moutnovskia,88.97,0.74,0,Vulcanisaeta moutnovskia,17,1937735,63,0.01143200,Vulcanisaeta moutnovskia,#N/A,#N/A,#N/A
C,Exponential,Exponential decay,Not closely related,60,8K,C.3.N.60-8K-bin.48,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermocladiaceae,Vulcanisaeta,Vulcanisaeta moutnovskia,88.97,0.74,0,Vulcanisaeta moutnovskia,17,1937735,63,0.01143200,Vulcanisaeta moutnovskia,#N/A,#N/A,#N/A
C,Exponential,Exponential decay,Not closely related,60,8K,C.3.N.60-8K-bin.55,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermocladiaceae,Vulcanisaeta,Vulcanisaeta moutnovskia,88.97,0.74,0,Vulcanisaeta moutnovskia,17,1937735,63,0.01143200,Vulcanisaeta moutnovskia,#N/A,#N/A,#N/A
B,Exponential,Exponential decay,Random,10,DT,B.3.R.10-DT-bin.27,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Desulfurococcus,Desulfurococcus mucosus,100,0.63,0,Desulfurococcus mucosus,37,1327799,15,0.01143430,Desulfurococcus mucosus,#N/A,#N/A,#N/A
B,Equal abundance,Equal abundance,Ordered,60,8K,B.1.O.60-8K-bin.21,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Helicobacteraceae,Wolinella,Wolinella succinogenes,99.41,0.42,0,Wolinella succinogenes,28,2020552,61,0.01144037,Wolinella succinogenes,#N/A,#N/A,#N/A
B,Equal abundance,Equal abundance,Ordered,60,8K,B.1.O.60-8K-bin.27,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Helicobacteraceae,Wolinella,Wolinella succinogenes,99.41,0.42,0,Wolinella succinogenes,28,2020552,61,0.01144037,Wolinella succinogenes,#N/A,#N/A,#N/A
B,Equal abundance,Equal abundance,Ordered,60,8K,B.1.O.60-8K-bin.43,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Helicobacteraceae,Wolinella,Wolinella succinogenes,99.41,0.42,0,Wolinella succinogenes,28,2020552,61,0.01144037,Wolinella succinogenes,#N/A,#N/A,#N/A
B,Equal abundance,Equal abundance,Ordered,60,8K,B.1.O.60-8K-bin.7,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Helicobacteraceae,Wolinella,Wolinella succinogenes,99.41,0.42,0,Wolinella succinogenes,28,2020552,61,0.01144037,Wolinella succinogenes,#N/A,#N/A,#N/A
B,Equal abundance,Equal abundance,Ordered,60,DT,B.1.O.60-DT-bin.16,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Helicobacteraceae,Wolinella,Wolinella succinogenes,99.41,0.42,0,Wolinella succinogenes,29,2024597,59,0.01146289,Wolinella succinogenes,#N/A,#N/A,#N/A
B,Logarithmic,Logarithmic decay,Random,60,DT,B.2.R.60-DT-bin.19,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Brucella,Brucella melitensis,99.44,0.52,0,#N/A,56,3204705,37,0.01147884,Brucella melitensis,Brucella melitensis,A,FALSE
B,Logarithmic,Logarithmic decay,Random,120,8K,B.2.R.120-8K-bin.35,Bacteria,Firmicutes,Bacilli,Bacillales,Aeribacillaceae,Aeribacillus,Aeribacillus pallidus,89.37,0.49,0,Aeribacillus pallidus,125,2754225,90,0.01149184,Aeribacillus pallidus,#N/A,#N/A,#N/A
B,Logarithmic,Logarithmic decay,Random,120,8K,B.2.R.120-8K-bin.43,Bacteria,Firmicutes,Bacilli,Bacillales,Aeribacillaceae,Aeribacillus,Aeribacillus pallidus,89.37,0.49,0,Aeribacillus pallidus,125,2754225,90,0.01149184,Aeribacillus pallidus,#N/A,#N/A,#N/A
B,Exponential,Exponential decay with abundance plateaus,Very closely related,60,DT,B.5.V.60-DT-bin.9,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Desulfurococcus,Desulfurococcus amylolyticus,99.37,0,0,#N/A,37,1350224,90,0.01149300,#N/A,#N/A,#N/A,#N/A
A,Exponential,Exponential decay with abundance plateaus,Closely related,60,MM,A.5.C.60-MM-bin.6,Bacteria,Aquificota,Aquificae,Aquificales,Aquificaceae,Thermocrinis,Thermocrinis ruber,97.97,0,0,Thermocrinis ruber,43,1477611,84,0.01151627,Thermocrinis ruber,#N/A,#N/A,#N/A
B,Equal abundance,Equal abundance,Ordered,60,MM,B.1.O.60-MM-bin.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Helicobacteraceae,Wolinella,Wolinella succinogenes,96.95,1.71,0,Wolinella succinogenes,41,2033235,61,0.01153751,Wolinella succinogenes,#N/A,#N/A,#N/A
C,Logarithmic,Logarithmic decay with abundance plateaus,Very closely related,60,8K,C.4.V.60-8K-bin.2,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae,Granulicella,Granulicella tundricola,83.76,0,0,Granulicella tundricola,24,3773227,33,0.01154162,Granulicella tundricola,#N/A,#N/A,#N/A
C,Logarithmic,Logarithmic decay with abundance plateaus,Very closely related,60,8K,C.4.V.60-8K-bin.4,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae,Granulicella,Granulicella tundricola,83.76,0,0,Granulicella tundricola,24,3773227,33,0.01154162,Granulicella tundricola,#N/A,#N/A,#N/A
C,Logarithmic,Logarithmic decay with abundance plateaus,Very closely related,60,8K,C.4.V.60-8K-bin.7,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae,Granulicella,Granulicella tundricola,83.76,0,0,Granulicella tundricola,24,3773227,33,0.01154162,Granulicella tundricola,#N/A,#N/A,#N/A
A,Logarithmic,Logarithmic decay,Random,30,8K,A.2.R.30-8K-bin.1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Antarctobacter,Antarctobacter heliothermus,98.34,0.53,0,Antarctobacter heliothermus,38,4341437,14,0.01154964,Antarctobacter heliothermus,#N/A,#N/A,#N/A
A,Logarithmic,Logarithmic decay,Random,30,8K,A.2.R.30-8K-bin.10,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Antarctobacter,Antarctobacter heliothermus,98.34,0.53,0,Antarctobacter heliothermus,38,4341437,14,0.01154964,Antarctobacter heliothermus,#N/A,#N/A,#N/A
A,Logarithmic,Logarithmic decay,Random,30,8K,A.2.R.30-8K-bin.11,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Antarctobacter,Antarctobacter heliothermus,98.34,0.53,0,Antarctobacter heliothermus,38,4341437,14,0.01154964,Antarctobacter heliothermus,#N/A,#N/A,#N/A
A,Exponential,Exponential decay with abundance plateaus,Very closely related,60,DT,A.5.V.60-DT-bin.16,Bacteria,Aquificota,Aquificae,Aquificales,Aquificaceae,Thermocrinis,Thermocrinis albus,99.39,0,0,Thermocrinis albus,25,1480066,82,0.01155170,Thermocrinis albus,#N/A,#N/A,#N/A
A,Logarithmic,Logarithmic decay,Not closely related,60,MM,A.2.N.60-MM-bin.12,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter_A,Rhodobacter sphaeroides,99.09,0,0,Rhodobacter sphaeroides,149,4029316,30,0.01155650,Rhodobacter sphaeroides,Rhodobacter sphaeroides,A,TRUE
B,Exponential,Exponential decay,Very closely related,60,DT,B.3.V.60-DT-bin.21,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Desulfurococcus,Desulfurococcus amylolyticus,99.37,0,0,#N/A,39,1360082,90,0.01157637,#N/A,#N/A,#N/A,#N/A
A,Equal abundance,Equal abundance,Ordered,60,8K,A.1.O.60-8K-bin.19,Archaea,Halobacterota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Ferroglobus,Ferroglobus placidus,97.39,0,0,Ferroglobus placidus,32,1953035,64,0.01159432,Ferroglobus placidus,#N/A,#N/A,#N/A
A,Equal abundance,Equal abundance,Ordered,60,8K,A.1.O.60-8K-bin.42,Archaea,Halobacterota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Ferroglobus,Ferroglobus placidus,97.39,0,0,Ferroglobus placidus,32,1953035,64,0.01159432,Ferroglobus placidus,#N/A,#N/A,#N/A
A,Equal abundance,Equal abundance,Ordered,60,8K,A.1.O.60-8K-bin.57,Archaea,Halobacterota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Ferroglobus,Ferroglobus placidus,97.39,0,0,Ferroglobus placidus,32,1953035,64,0.01159432,Ferroglobus placidus,#N/A,#N/A,#N/A
A,Exponential,Exponential decay with abundance plateaus,Very closely related,60,MM,A.5.V.60-MM-bin.20,Bacteria,Aquificota,Aquificae,Aquificales,Aquificaceae,Thermocrinis,Thermocrinis ruber,98.78,0.41,100,Thermocrinis ruber,40,1488132,84,0.01160127,Thermocrinis ruber,#N/A,#N/A,#N/A
A,Equal abundance,Equal abundance,Ordered,60,8K,A.1.O.60-8K-bin.6,Archaea,Halobacterota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Ferroglobus,Ferroglobus placidus,97.39,0,0,Ferroglobus placidus,33,1955670,64,0.01161005,Ferroglobus placidus,#N/A,#N/A,#N/A
C,Logarithmic,Logarithmic decay,Random,60,MM,C.2.R.60-MM-bin.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae,Trichormus_B,Trichormus azollae,94.56,0,0,#N/A,1151,4209830,29,0.01161111,#N/A,#N/A,#N/A,#N/A
A,Exponential,Exponential decay with abundance plateaus,Closely related,60,8K,A.5.C.60-8K-bin.34,Bacteria,Aquificota,Aquificae,Aquificales,Aquificaceae,Thermocrinis,Thermocrinis ruber,97.97,0,0,Thermocrinis ruber,15,1488616,84,0.01161847,Thermocrinis ruber,#N/A,#N/A,#N/A
B,Exponential,Exponential decay,Closely related,60,DT,B.3.C.60-DT-bin.17,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Desulfurococcus,Desulfurococcus amylolyticus,100,0,0,#N/A,38,1362895,90,0.01163206,#N/A,#N/A,#N/A,#N/A
C,Exponential,Exponential decay,Random,30,DT,C.3.R.30-DT-bin.4,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermocladiaceae,Vulcanisaeta,Vulcanisaeta distributa,97.79,4.41,71.43,Vulcanisaeta distributa,39,2488471,24,0.01165397,Vulcanisaeta distributa,#N/A,#N/A,#N/A
A,Equal abundance,Equal abundance,Ordered,60,DT,A.1.O.60-DT-bin.11,Archaea,Halobacterota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Ferroglobus,Ferroglobus placidus,97.39,0,0,Ferroglobus placidus,34,1964625,62,0.01166342,Ferroglobus placidus,#N/A,#N/A,#N/A
A,Exponential,Exponential decay,Random,180,8K,A.3.R.180-8K-bin.13,Bacteria,Aquificota,Aquificae,Aquificales,Aquificaceae,Hydrogenobacter,Hydrogenobacter thermophilus,98.78,0.51,0,Hydrogenobacter thermophilus,26,1722718,219,0.01166660,Hydrogenobacter thermophilus,#N/A,#N/A,#N/A
A,Exponential,Exponential decay,Random,180,8K,A.3.R.180-8K-bin.17,Bacteria,Aquificota,Aquificae,Aquificales,Aquificaceae,Hydrogenobacter,Hydrogenobacter thermophilus,98.78,0.51,0,Hydrogenobacter thermophilus,26,1722718,219,0.01166660,Hydrogenobacter thermophilus,#N/A,#N/A,#N/A
A,Exponential,Exponential decay,Random,180,8K,A.3.R.180-8K-bin.30,Bacteria,Aquificota,Aquificae,Aquificales,Aquificaceae,Hydrogenobacter,Hydrogenobacter thermophilus,98.78,0.51,0,Hydrogenobacter thermophilus,26,1722718,219,0.01166660,Hydrogenobacter thermophilus,#N/A,#N/A,#N/A
A,Exponential,Exponential decay,Random,180,8K,A.3.R.180-8K-bin.32,Bacteria,Aquificota,Aquificae,Aquificales,Aquificaceae,Hydrogenobacter,Hydrogenobacter thermophilus,98.78,0.51,0,Hydrogenobacter thermophilus,26,1722718,219,0.01166660,Hydrogenobacter thermophilus,#N/A,#N/A,#N/A
A,Exponential,Exponential decay,Closely related,60,MM,A.3.C.60-MM-bin.7,Bacteria,Aquificota,Aquificae,Aquificales,Aquificaceae,Thermocrinis,Thermocrinis ruber,98.78,0,0,Thermocrinis ruber,42,1496734,84,0.01169429,Thermocrinis ruber,#N/A,#N/A,#N/A
C,Exponential,Exponential decay,Random,10,8K,C.3.R.10-8K-bin.1,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Thermoproteus,Thermoproteus uzoniensis,99.26,0,0,Thermoproteus uzoniensis,30,1717825,12,0.01172128,Thermoproteus uzoniensis,#N/A,#N/A,#N/A
C,Exponential,Exponential decay,Random,10,8K,C.3.R.10-8K-bin.13,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Thermoproteus,Thermoproteus uzoniensis,99.26,0,0,Thermoproteus uzoniensis,30,1717825,12,0.01172128,Thermoproteus uzoniensis,#N/A,#N/A,#N/A
C,Exponential,Exponential decay,Random,10,8K,C.3.R.10-8K-bin.24,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Thermoproteus,Thermoproteus uzoniensis,99.26,0,0,Thermoproteus uzoniensis,30,1717825,12,0.01172128,Thermoproteus uzoniensis,#N/A,#N/A,#N/A
C,Exponential,Exponential decay,Random,10,8K,C.3.R.10-8K-bin.28,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Thermoproteus,Thermoproteus uzoniensis,99.26,0,0,Thermoproteus uzoniensis,30,1717825,12,0.01172128,Thermoproteus uzoniensis,#N/A,#N/A,#N/A
A,Logarithmic,Logarithmic decay,Not closely related,60,DT,A.2.N.60-DT-bin.12,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter_A,Rhodobacter sphaeroides,99.39,0,0,Rhodobacter sphaeroides,48,4073717,30,0.01174886,Rhodobacter sphaeroides,Rhodobacter sphaeroides,A,TRUE
A,Exponential,Exponential decay,Very closely related,60,MM,A.3.V.60-MM-bin.4,Bacteria,Aquificota,Aquificae,Aquificales,Aquificaceae,Thermocrinis,Thermocrinis ruber,98.78,0,0,Thermocrinis ruber,41,1498248,84,0.01175123,Thermocrinis ruber,#N/A,#N/A,#N/A
B,Equal abundance,Equal abundance,Ordered,60,8K,B.1.O.60-8K-bin.12,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Riemerella,Riemerella anatipestifer,98.53,0,0,Riemerella anatipestifer,19,2070363,61,0.01176550,Riemerella anatipestifer,#N/A,#N/A,#N/A
B,Equal abundance,Equal abundance,Ordered,60,8K,B.1.O.60-8K-bin.22,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Riemerella,Riemerella anatipestifer,98.53,0,0,Riemerella anatipestifer,19,2070363,61,0.01176550,Riemerella anatipestifer,#N/A,#N/A,#N/A
B,Equal abundance,Equal abundance,Ordered,60,8K,B.1.O.60-8K-bin.40,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Riemerella,Riemerella anatipestifer,98.53,0,0,Riemerella anatipestifer,19,2070363,61,0.01176550,Riemerella anatipestifer,#N/A,#N/A,#N/A
B,Exponential,Exponential decay,Very closely related,60,MM,B.3.V.60-MM-bin.26,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus amyloliquefaciens,99.38,2.63,33.33,Bacillus amyloliquefaciens,88,3985541,31,0.01177209,Bacillus amyloliquefaciens,#N/A,#N/A,#N/A
C,Exponential,Exponential decay,Random,180,8K,C.3.R.180-8K-bin.26,Bacteria,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces griseus,99.91,0,0,Streptomyces griseus,65,8148843,46,0.01177488,Streptomyces griseus,Streptomyces griseus,C,TRUE
C,Exponential,Exponential decay,Random,180,8K,C.3.R.180-8K-bin.6,Bacteria,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces griseus,99.91,0,0,Streptomyces griseus,65,8148843,46,0.01177488,Streptomyces griseus,Streptomyces griseus,C,TRUE
C,Exponential,Exponential decay,Random,180,8K,C.3.R.180-8K-bin.17,Bacteria,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces griseus,99.91,0,0,Streptomyces griseus,65,8148843,46,0.01177488,Streptomyces griseus,Streptomyces griseus,C,TRUE
C,Exponential,Exponential decay,Random,180,8K,C.3.R.180-8K-bin.2,Bacteria,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces griseus,99.91,0,0,Streptomyces griseus,65,8148843,46,0.01177488,Streptomyces griseus,Streptomyces griseus,C,TRUE
C,Logarithmic,Logarithmic decay,Random,30,MM,C.2.R.30-MM-bin.4,Bacteria,Thermotogota,Thermotogae,Thermotogales,Thermotogaceae,Thermotoga,Thermotoga petrophila,100,1.75,0,Thermotoga petrophila,45,1781824,35,0.01177719,Thermotoga petrophila,#N/A,#N/A,#N/A
A,Exponential,Exponential decay,Random,120,8K,A.3.R.120-8K-bin.15,Bacteria,Aquificota,Aquificae,Aquificales,Aquificaceae,Thermocrinis,Thermocrinis ruber,97.56,0,0,Thermocrinis ruber,12,1422370,178,0.01178199,Thermocrinis ruber,#N/A,#N/A,#N/A
A,Exponential,Exponential decay,Random,120,8K,A.3.R.120-8K-bin.26,Bacteria,Aquificota,Aquificae,Aquificales,Aquificaceae,Thermocrinis,Thermocrinis ruber,97.56,0,0,Thermocrinis ruber,12,1422370,178,0.01178199,Thermocrinis ruber,#N/A,#N/A,#N/A
A,Exponential,Exponential decay,Random,120,8K,A.3.R.120-8K-bin.48,Bacteria,Aquificota,Aquificae,Aquificales,Aquificaceae,Thermocrinis,Thermocrinis ruber,97.56,0,0,Thermocrinis ruber,12,1422370,178,0.01178199,Thermocrinis ruber,#N/A,#N/A,#N/A
A,Exponential,Exponential decay with abundance plateaus,Closely related,60,DT,A.5.C.60-DT-bin.5,Bacteria,Aquificota,Aquificae,Aquificales,Aquificaceae,Thermocrinis,Thermocrinis ruber,99.59,0,0,Thermocrinis ruber,18,1507908,82,0.01179247,Thermocrinis ruber,#N/A,#N/A,#N/A
C,Exponential,Exponential decay with abundance plateaus,Not closely related,60,DT,C.5.N.60-DT-bin.18,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Thermoproteus,Thermoproteus uzoniensis,100,0,0,Thermoproteus uzoniensis,28,1926405,64,0.01180038,Thermoproteus uzoniensis,#N/A,#N/A,#N/A
C,Exponential,Exponential decay,Closely related,60,8K,C.3.C.60-8K-bin.20,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Nitratireductor_B,Nitratireductor basaltis,99.6,0.8,0,Nitratireductor basaltis,35,3298375,38,0.01181629,Nitratireductor basaltis,#N/A,#N/A,#N/A
C,Exponential,Exponential decay,Closely related,60,8K,C.3.C.60-8K-bin.3,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Nitratireductor_B,Nitratireductor basaltis,99.6,0.8,0,Nitratireductor basaltis,35,3298375,38,0.01181629,Nitratireductor basaltis,#N/A,#N/A,#N/A
C,Exponential,Exponential decay,Closely related,60,8K,C.3.C.60-8K-bin.41,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Nitratireductor_B,Nitratireductor basaltis,99.6,0.8,0,Nitratireductor basaltis,35,3298375,38,0.01181629,Nitratireductor basaltis,#N/A,#N/A,#N/A
C,Logarithmic,Logarithmic decay,Random,30,8K,C.2.R.30-8K-bin.22,Bacteria,Thermotogota,Thermotogae,Thermotogales,Thermotogaceae,Thermotoga,Thermotoga petrophila,100,1.75,0,Thermotoga petrophila,23,1786561,35,0.01182983,Thermotoga petrophila,#N/A,#N/A,#N/A
